epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,20067.5,1.35016,0.75188,0.0126,0.85645,0.77952,0.85382,0.55921,1.33339,0.82494,0.01253,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,20817.8,1.31436,0.71595,0.01211,0.88032,0.76353,0.85713,0.56239,1.31936,0.81737,0.01235,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,21344.2,1.28187,0.69434,0.01154,0.86768,0.77735,0.85916,0.56632,1.31656,0.8086,0.01232,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,21868.8,1.25432,0.65816,0.01113,0.88851,0.76711,0.86144,0.56951,1.3115,0.79558,0.01226,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,22393.8,1.22873,0.63388,0.01078,0.89501,0.7654,0.86001,0.56992,1.30679,0.79394,0.01217,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,22920.8,1.21518,0.61876,0.01052,0.88933,0.77517,0.86193,0.57231,1.30882,0.78172,0.01221,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,23446.8,1.19018,0.59264,0.01009,0.88798,0.77812,0.86409,0.57425,1.30612,0.77832,0.01219,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,23972.3,1.17093,0.57539,0.00987,0.88545,0.78197,0.86449,0.57599,1.30114,0.77665,0.01211,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,24497.8,1.15082,0.56749,0.00962,0.87525,0.79252,0.86591,0.57786,1.29707,0.76982,0.01202,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,25022.9,1.12891,0.55301,0.0094,0.88543,0.79022,0.86687,0.57895,1.29687,0.76497,0.01201,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
